ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
210,ชื่อบท (CHAPTER) ในวิทยานิพนธ์ภาษาอังกฤษ ใช้ฟอนต์ขนาดเท่าไหร่,ใช้ฟอนต์ขนาด 14 พอยต์ ตัวหนา (Bold) ,"ชื่อบทภาษาอังกฤษ, CHAPTER, ขนาดฟอนต์, 14 พอยต์, ตัวหนา","ขนาดฟ้อนอังกฤษ, บทที่อังกฤษ, ตัวทึบ",บทที่ 3 หน้า 19
211,ชื่อไฟล์หน้าปกวิทยานิพนธ์ต้องตั้งชื่อว่าอะไรคะ,ไฟล์หน้าปกวิทยานิพนธ์กำหนดให้ตั้งชื่อไฟล์ว่า 01_cov.doc ,"ชื่อไฟล์, หน้าปก, 01_cov.doc","ชื่อไฟล, หน้าปรก",ภาคผนวก ข หน้า 127
212,ไฟล์บทคัดย่อตั้งชื่อยังไงครับ,ไฟล์บทคัดย่อทั้งภาษาไทยและภาษาอังกฤษ กำหนดให้ตั้งชื่อไฟล์ว่า 02_abs.doc ,"ชื่อไฟล์, บทคัดย่อ, 02_abs.doc","บดคัดย่อ, ชื่อไฟล",ภาคผนวก ข หน้า 127
213,ชื่อไฟล์กิตติกรรมประกาศตั้งว่าอะไรคะ,ไฟล์กิตติกรรมประกาศกำหนดให้ตั้งชื่อไฟล์ว่า 03_ack.doc ,"ชื่อไฟล์, กิตติกรรมประกาศ, 03_ack.doc","กิตติกรรม, ชื่อไฟล",ภาคผนวก ข หน้า 127
214,พวกสารบัญ สารบัญภาพ สารบัญตาราง ต้องแยกไฟล์ไหม ตั้งชื่อว่าอะไร,สารบัญ สารบัญตาราง สารบัญภาพ และคำอธิบายสัญลักษณ์ ให้อยู่ในไฟล์เดียวกัน โดยตั้งชื่อไฟล์ว่า 04_tbc.doc ,"ชื่อไฟล์, สารบัญ, สารบัญตาราง, สารบัญภาพ, 04_tbc.doc","สารบัน, ชื่อไฟล",ภาคผนวก ข หน้า 127
215,ไฟล์เนื้อหาบทที่ 1 ถึง 5 ตั้งชื่อไฟล์ยังไงครับ,"ไฟล์เนื้อหาให้ตั้งชื่อตามบทและเรียงลำดับ ได้แก่ 05_ch1.doc, 05_ch2.doc, 05_ch3.doc, 05_ch4.doc และ 05_ch5.doc ตามลำดับ","ชื่อไฟล์, บทที่ 1, บทที่ 5, 05_ch","ชื่อไฟล, บดที่",ภาคผนวก ข หน้า 127
216,ไฟล์บรรณานุกรมหรือเอกสารอ้างอิงตั้งชื่อว่าอะไรคะ,ไฟล์บรรณานุกรมหรือเอกสารอ้างอิง กำหนดให้ตั้งชื่อไฟล์ว่า 06_ref.doc ,"ชื่อไฟล์, บรรณานุกรม, เอกสารอ้างอิง, 06_ref.doc","บรรณานุกม, อ้างอิง",ภาคผนวก ข หน้า 127
217,ไฟล์ภาคผนวกตั้งชื่อยังไง ถ้ามีหลายภาค,"ไฟล์ภาคผนวกให้ตั้งชื่อตามจำนวนภาคผนวกและเรียงลำดับ เช่น 07_app1.doc, 07_app2.doc และ 07_app3.doc ","ชื่อไฟล์, ภาคผนวก, 07_app","พากผนวก, ชื่อไฟล",ภาคผนวก ข หน้า 127
218,ไฟล์ประวัติผู้วิจัยตั้งชื่อว่าอะไรครับ,ไฟล์ประวัติผู้วิจัย กำหนดให้ตั้งชื่อไฟล์ว่า 08_bio.doc ,"ชื่อไฟล์, ประวัติผู้วิจัย, 08_bio.doc","ประวัติ, ชื่อไฟล",ภาคผนวก ข หน้า 127
219,แผ่นซีดีที่ส่งบัณฑิตวิทยาลัยต้องใช้แผ่นแบบไหนคะ,ต้องใช้แผ่นซีดีแบบ CD-R 700MB/80MIN ขนาด 12 เซนติเมตร ,"แผ่นซีดี, CD-R, ขนาดแผ่นซีดี","แผ่น CD, ซีดี",ภาคผนวก ข หน้า 127
220,ไฟล์วิทยานิพนธ์ที่บันทึกลงแผ่นซีดีต้องเป็นนามสกุลอะไรบ้าง,ให้นักศึกษาบันทึกข้อมูลเป็นไฟล์นามสกุล .doc และ .pdf ,"นามสกุลไฟล์, บันทึกข้อมูล, .doc, .pdf","นามสกุลไฟล, เซฟไฟล์",ภาคผนวก ข หน้า 127
221,หน้าปกซีดีวิทยานิพนธ์ต้องมีข้อมูลอะไรบ้างครับ,หน้าปกซีดีต้องระบุ ชื่อนักศึกษา รหัสประจำตัว ชื่อวิทยานิพนธ์ ชื่อปริญญา สาขาวิชา และปีการศึกษาที่สำเร็จการศึกษา ,"ปกซีดี, ข้อมูลหน้าปกซีดี, แผ่นซีดี","ปก CD, หน้าปกซีดี",ภาคผนวก ข หน้า 127
222,การเว้นวรรคเล็กในการพิมพ์วิทยานิพนธ์คือการเว้นกี่เคาะคะ,การเว้นวรรคเล็ก คือการเว้นระยะห่างระหว่างวรรคเท่ากับความกว้างของพยัญชนะ หรือ 1 เคาะ ,"เว้นวรรคเล็ก, 1 เคาะ, ระยะห่าง","เว้นวรรค, เคาะ",บทที่ 3 หน้า 16
